iter,f,grad_norm,time_ms
1,0,147.995294129405,0.021053
2,-4.43846305286907,122.59212240978,0.370068
3,-7.96119611406507,97.9728634069833,0.373324
4,-10.5782309195161,74.8704065518898,0.375298
5,-12.342908553891,54.5777869176072,0.377358
6,-13.369843437522,39.3797043212754,0.379101
7,-13.8334099374023,32.4058409762453,0.380749
8,-13.9366229204647,33.8453134694718,0.382446
9,-13.8695966685588,38.9677272026518,0.384092
10,-13.7790451520192,43.8393570630434,0.38576
11,-13.7571866405132,46.9332540389791,0.387617
12,-13.8466894851992,47.898689603297,0.389357
13,-14.0523747834369,46.8376835406217,0.391026
14,-14.3534144001729,44.0326465628126,0.392765
15,-14.714386156029,39.8510604297711,0.394381
16,-15.0949350221564,34.7170032892679,0.396179
17,-15.4576077971467,29.1140937653382,0.397837
18,-15.7734700845756,23.6144687670327,0.399504
19,-16.0253116597222,18.9304714472216,0.401094
20,-16.2083830003062,15.8964351557737,0.402829
21,-16.3288110244865,15.0456567830226,0.404492
22,-16.4002119877455,15.9324782373836,0.406192
23,-16.4394210673249,17.4831253842786,0.407786
24,-16.4624356831768,18.8526371712632,0.409414
25,-16.481483619503,19.6154787447669,0.410986
26,-16.5036730640861,19.6347185303229,0.412613
27,-16.5311828700497,18.9495097486646,0.414292
28,-16.5625827253907,17.7123409583741,0.415869
29,-16.5946938223059,16.1519885114405,0.417545
30,-16.6243939660445,14.5424197119445,0.419127
31,-16.6498981287403,13.1584792141155,0.420781
32,-16.6712641368925,12.2014852930835,0.422556
33,-16.6901292198646,11.7133464086802,0.424169
34,-16.7089071042973,11.5562432114178,0.425776
35,-16.7298021968371,11.4979402218801,0.427416
36,-16.7539964113134,11.3253015683507,0.429039
37,-16.781253721976,10.9068594961526,0.430654
38,-16.8100219499704,10.2052439743275,0.432333
39,-16.8379512498051,9.26940806145249,0.434003
40,-16.862637202486,8.22418449199644,0.435654
41,-16.8823520284537,7.25735727503644,0.437171
42,-16.8965499367883,6.58232862307488,0.438674
43,-16.9060094982607,6.34060250049811,0.440207
44,-16.9125856672325,6.4893716139412,0.441738
45,-16.9186578603199,6.82470805423004,0.443166
46,-16.9264464327681,7.11830999490066,0.444975
47,-16.9374019671412,7.20562004019315,0.447046
48,-16.9518405387097,7.00003049872392,0.448159
49,-16.968915960377,6.48143862257733,0.449221
50,-16.9869162831993,5.68410849907639,0.450287
51,-17.003780129072,4.69062840920454,0.451283
52,-17.0176741811662,3.63868014551596,0.452401
53,-17.0274675609479,2.7554323283524,0.453476
54,-17.0329791374057,2.37675663830979,0.454484
55,-17.0349462884977,2.63712155736821,0.455509
56,-17.0347468136738,3.20305370710168,0.456537
57,-17.0339749191462,3.73881223052676,0.457603
58,-17.0340065309127,4.08537446290729,0.458651
59,-17.0356792288931,4.18592043984613,0.459808
60,-17.0391641953475,4.03946091326128,0.460848
61,-17.0440410719086,3.68275482909581,0.461842
62,-17.0495252236204,3.1830727095662,0.46294
63,-17.0547592540203,2.63705610393111,0.464019
64,-17.0590747382416,2.17249339712464,0.465059
65,-17.0621530571442,1.9265723516448,0.46606
66,-17.064054964712,1.94745218565754,0.46723
67,-17.0651325239756,2.12798980204463,0.46845
68,-17.0658705434796,2.32045148127063,0.469514
69,-17.0667185779754,2.4327553542432,0.470498
70,-17.0679670530793,2.42975830188483,0.4715
71,-17.0696975622199,2.31498982910749,0.472543
72,-17.0718080502873,2.11813446110019,0.473549
73,-17.0740892087381,1.88656623958952,0.474707
74,-17.076316365702,1.67590424119442,0.475827
75,-17.0783233842612,1.53312455363262,0.476854
76,-17.0800382504436,1.4725042818821,0.477879
77,-17.0814775938079,1.46679445800823,0.478877
78,-17.0827123791813,1.47013608017221,0.479896
79,-17.0838245662718,1.44709003899551,0.480991
80,-17.0848732834099,1.38474063654092,0.482099
81,-17.0858811047828,1.29221523905511,0.483119
82,-17.0868406275109,1.19521631891099,0.484157
83,-17.0877332008571,1.12563638740408,0.485146
84,-17.0885482976697,1.10419263948775,0.486218
85,-17.0892941094291,1.12531333892419,0.487168
86,-17.0899956911916,1.16142720777227,0.488261
87,-17.0906833712504,1.18150636526652,0.489256
88,-17.0913783474317,1.16468839453696,0.490252
89,-17.0920829112467,1.10458757180386,0.491251
90,-17.0927798343573,1.00920120869715,0.492267
91,-17.0934408123715,0.899534094667363,0.493252
92,-17.0940397214181,0.806157548572559,0.494339
93,-17.0945645633395,0.758361031771284,0.495409
94,-17.0950229500024,0.764230857506442,0.496415
95,-17.0954391127208,0.802615779594662,0.497494
96,-17.0958441717496,0.84097707786661,0.498547
97,-17.0962641078159,0.854283952612319,0.499625
98,-17.0967104912484,0.83064244945272,0.50074
99,-17.0971774802903,0.770464509735699,0.501972
100,-17.0976457484148,0.684828972399273,0.503089
101,-17.0980911526898,0.594223515578025,0.504194
102,-17.0984942856075,0.525644675557305,0.505279
103,-17.0988471208383,0.501381033070484,0.506339
104,-17.0991545479669,0.520483882758955,0.507478
105,-17.0994308709434,0.559221053469558,0.508545
106,-17.0996933091609,0.591991037365507,0.509698
107,-17.0999554316441,0.60326996097379,0.510738
108,-17.1002230538197,0.588025303738602,0.511894
109,-17.1004937733702,0.54941525558929,0.51293
110,-17.1007597027827,0.496695427568442,0.51399
111,-17.1010117697827,0.443114319529376,0.514992
112,-17.1012436199652,0.402448559152886,0.516049
113,-17.1014536701064,0.382952222403357,0.517088
114,-17.1016448729894,0.382149082978924,0.518183
115,-17.1018227610348,0.389463167379753,0.51931
116,-17.1019929189751,0.394143363902884,0.520379
117,-17.1021590284036,0.390147291682222,0.521407
118,-17.1023221434649,0.376711817950273,0.522451
119,-17.1024811954973,0.357029634448833,0.523468
120,-17.1026342054755,0.336280623232908,0.524578
121,-17.1027795041214,0.319286405219382,0.525728
122,-17.1029164293347,0.308317756839116,0.52683
123,-17.1030453395576,0.302293447968447,0.527924
124,-17.1031671389039,0.298040945254622,0.528957
125,-17.1032826915502,0.292485769741827,0.53003
126,-17.1033924600679,0.284150957500242,0.531081
127,-17.1034965030439,0.273439961597561,0.532166
128,-17.1035947424995,0.261999538565113,0.533223
129,-17.103687280317,0.251619978418801,0.534329
130,-17.1037745555441,0.243193490043871,0.535396
131,-17.1038572593145,0.236298747678118,0.536511
132,-17.1039360766577,0.22964781269828,0.537551
133,-17.1040114186809,0.222013207299186,0.538602
134,-17.1040833014388,0.212999254167861,0.539704
135,-17.1041514353206,0.203280831863688,0.540743
136,-17.1042154699216,0.194259281333411,0.541829
137,-17.1042752599259,0.187288381056273,0.542888
138,-17.1043310153004,0.182848427428707,0.543892
139,-17.1043832677006,0.180213303841502,0.544988
140,-17.104432682295,0.177868222289456,0.546065
141,-17.1044798179751,0.174328171477406,0.547135
142,-17.1045249545036,0.168803823539868,0.548144
143,-17.104568061023,0.161451734902997,0.549132
144,-17.1046089049105,0.153224595510744,0.550211
145,-17.1046472338564,0.145421424841441,0.551291
146,-17.1046829382737,0.139084425623487,0.552341
147,-17.1047161230221,0.134508692548809,0.553385
148,-17.1047470699472,0.131172576357733,0.55449
149,-17.1047761262974,0.12813488887395,0.555482
150,-17.1048035827898,0.124587309933203,0.556513
151,-17.1048295990138,0.120215319520973,0.557692
152,-17.1048542014893,0.115246372229024,0.558776
153,-17.1048773410164,0.110242475722811,0.559793
154,-17.1048989707012,0.105763601538935,0.560871
155,-17.1049191040374,0.10206690256615,0.561985
156,-17.1049378303136,0.0990044117424705,0.563057
157,-17.1049552898594,0.0961670390553234,0.564162
158,-17.1049716303649,0.0931526570562615,0.565197
159,-17.1049869697546,0.0897770507416476,0.566269
160,-17.105001381775,0.0861273892501915,0.567289
161,-17.1050149051621,0.0824653854738552,0.568357
162,-17.1050275651351,0.0790537301336355,0.569413
163,-17.1050393925942,0.0760074045462694,0.570538
164,-17.1050504315943,0.0732551844023125,0.571567
165,-17.1050607346978,0.0706246892328064,0.572654
166,-17.1050703528459,0.0679802446430087,0.573669
167,-17.10507932793,0.0653172189356507,0.574731
168,-17.105087692575,0.0627580532854567,0.575875
169,-17.1050954759963,0.0604589808817652,0.576916
170,-17.1051027109188,0.0584888695864402,0.578006
171,-17.1051094365052,0.0567620939136197,0.579185
172,-17.1051156954451,0.0550732087172895,0.580235
173,-17.1051215273704,0.0532079969950202,0.614791
174,-17.1051269629927,0.0510574937164566,0.61633
175,-17.1051320226498,0.0486728312946014,0.617476
176,-17.1051367200322,0.04623903461682,0.618579
177,-17.1051410687219,0.0439818929148205,0.619687
178,-17.1051450876939,0.0420515758149675,0.620668
179,-17.1051488028113,0.0404473414035455,0.621668
180,-17.1051522438382,0.0390321172194808,0.622756
181,-17.1051554390123,0.0376248359046559,0.62378
182,-17.1051584103356,0.0361054912857392,0.624935
183,-17.1051611719961,0.0344721100156419,0.625971
184,-17.1051637323694,0.0328285447935935,0.627043
185,-17.1051660980969,0.031316956578531,0.628056
186,-17.1051682778694,0.0300317526805892,0.629124
187,-17.1051702840651,0.0289639276574732,0.630159
188,-17.1051721318225,0.0280101586980957,0.631183
189,-17.1051738365339,0.0270363435715848,0.632212
190,-17.1051754113881,0.0259494364300625,0.633212
191,-17.1051768662439,0.0247366599905246,0.634251
192,-17.1051782081518,0.0234597901860266,0.635307
193,-17.105179442901,0.0222152532069514,0.636353
194,-17.1051805765568,0.0210826647562376,0.637418
195,-17.1051816161919,0.0200886354406302,0.638445
196,-17.1051825696379,0.0192048004881628,0.639448
197,-17.105183444659,0.0183770719683601,0.640536
198,-17.1051842481659,0.0175627592599513,0.641562
